,time,temperature,humidity
0,1658857398.227905,36.5,58.8
1,1658857398.2289038,36.4,58.8
2,1658857398.2299032,36.5,58.8
3,1658857398.2309024,36.5,58.8
4,1658857398.2319016,36.4,58.8
5,1658857398.2329013,36.5,58.8
6,1658857399.8137124,36.4,58.8
7,1658857401.8780649,36.4,58.7
8,1658857402.1524503,36.4,58.7
9,1658857402.4272923,36.4,58.6
10,1658857402.7016842,36.4,58.6
11,1658857402.9715931,36.4,58.6
12,1658857403.2459798,36.4,58.6
13,1658857403.5203664,36.4,58.5
14,1658857403.7952156,36.4,58.5
15,1658857404.0656116,36.4,58.5
16,1658857404.3394578,36.4,58.4
17,1658857404.6138399,36.4,58.4
18,1658857404.8846848,36.4,58.4
19,1658857405.1590738,36.4,58.3
20,1658857405.4329154,36.5,58.3
21,1658857405.7072995,36.4,58.2
22,1658857405.9782546,36.4,58.2
23,1658857406.252641,36.5,58.2
24,1658857406.5273614,36.4,58.2
25,1658857406.8012073,36.5,58.2
26,1658857407.0716012,36.5,58.1
27,1658857407.3464441,36.4,58.1
28,1658857407.620833,36.4,58.0
29,1658857407.8946831,36.5,58.0
30,1658857408.165195,36.4,58.1
31,1658857408.440041,36.5,58.0
32,1658857408.7144217,36.5,58.0
33,1658857408.984285,36.4,58.0
34,1658857409.2586775,36.4,58.0
35,1658857409.5330641,36.4,58.0
36,1658857409.803909,36.5,58.0
37,1658857410.0782948,36.4,58.0
38,1658857410.3521478,36.4,58.1
39,1658857410.626526,36.5,58.1
40,1658857410.8973708,36.4,58.1
41,1658857411.1717649,36.4,58.1
42,1658857411.4456131,36.4,58.2
43,1658857411.720043,36.4,58.2
44,1658857411.9909127,36.4,58.2
45,1658857412.2655325,36.4,58.2
46,1658857412.5389864,36.5,58.2
47,1658857412.809846,36.4,58.2
48,1658857413.0842423,36.4,58.3
49,1658857413.3590884,36.4,58.3
50,1658857413.6334834,36.5,58.4
51,1658857413.9033318,36.5,58.4
52,1658857414.177718,36.5,58.4
53,1658857414.4525702,36.4,58.4
54,1658857414.7224157,36.5,58.5
55,1658857414.9969096,36.5,58.5
56,1658857415.2713115,36.5,58.6
57,1658857415.5457036,36.5,58.6
58,1658857415.8165486,36.4,58.6
59,1658857416.090939,36.5,58.7
60,1658857416.364792,36.4,58.7
61,1658857416.6391904,36.4,58.7
62,1658857416.9100378,36.5,58.7
